Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Target_Duration,Response,streamDur,Response,versionName,repGoal
Human,1,1,Line,45,Visual,TE,1,1,1.26,5.25,6.144549918,Calibrated,Target
Human,1,1,Line,45,Visual,TE,5.25,1,4.4,5.25,6.144549918,Calibrated,Stream
Human,1,1,Line,46,Visual,TE,3.5,3.5,3.97,6.25,6.651369784,Calibrated,Target
Human,1,1,Line,46,Visual,TE,6.25,3.5,6.99,6.25,6.651369784,Calibrated,Stream
Human,1,1,Line,47,Visual,TE,3.5,3.5,4.25,6.25,4.41654944,Calibrated,Target
Human,1,1,Line,47,Visual,TE,6.25,3.5,6.32,6.25,4.41654944,Calibrated,Stream
Human,1,1,Line,48,Visual,TE,3,3,4.98,4.75,4.005641157,Calibrated,Target
Human,1,1,Line,48,Visual,TE,4.75,3,6.43,4.75,4.005641157,Calibrated,Stream
Human,1,1,Line,49,Visual,TE,2.5,2.5,3.26,5.75,7.24638002,Calibrated,Target
Human,1,1,Line,49,Visual,TE,5.75,2.5,5.34,5.75,7.24638002,Calibrated,Stream
Human,1,1,Line,50,Visual,TE,5.5,5.5,5.33,6.75,3.601336308,Calibrated,Target
Human,1,1,Line,50,Visual,TE,6.75,5.5,6.9,6.75,3.601336308,Calibrated,Stream
Human,1,1,Line,51,Visual,TE,2.5,2.5,2.22,5.25,6.078983763,Calibrated,Target
Human,1,1,Line,51,Visual,TE,5.25,2.5,4.04,5.25,6.078983763,Calibrated,Stream
Human,1,1,Line,52,Visual,TE,5.5,5.5,6.22,7.25,5.050549697,Calibrated,Target
Human,1,1,Line,52,Visual,TE,7.25,5.5,7.72,7.25,5.050549697,Calibrated,Stream
Human,1,1,Line,53,Visual,TE,3.5,3.5,3.18,7.25,5.538195577,Calibrated,Target
Human,1,1,Line,53,Visual,TE,7.25,3.5,5.34,7.25,5.538195577,Calibrated,Stream
Human,1,1,Line,54,Visual,TE,2.5,2.5,2.87,5.75,7.716375691,Calibrated,Target
Human,1,1,Line,54,Visual,TE,5.75,2.5,6.12,5.75,7.716375691,Calibrated,Stream
Human,1,1,Line,55,Visual,TE,3.5,3.5,3.23,6.25,5.92172388,Calibrated,Target
