Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Method,Parameter,SOA,Stim_Type_1,Stim_Dur_1,Stim_Type_2,Stim_Dur_2,Choice,Reaction_Time,First_Stim,Condition
Human,111,1,1,1,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.807,Low_Tone,1
Human,111,1,1,2,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.847,High_Tone,1
Human,111,1,1,3,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,2.29,Low_Tone,1
Human,111,1,1,4,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.291,High_Tone,1
Human,111,1,1,5,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,1.436,High_Tone,1
Human,111,1,1,6,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,1.323,High_Tone,1
Human,111,1,1,7,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.195,High_Tone,1
Human,111,1,1,8,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,1.01,High_Tone,1
Human,111,1,1,9,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,2.744,Low_Tone,1
Human,111,1,1,10,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.042,Low_Tone,1
Human,111,1,1,11,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.825,Low_Tone,1
Human,111,1,1,12,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,2.282,High_Tone,1
Human,111,1,1,13,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,1.144,Low_Tone,1
Human,111,1,1,14,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,1.621,High_Tone,1
Human,111,1,1,15,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.785,High_Tone,1
Human,111,1,1,16,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.035,Low_Tone,1
Human,111,1,1,17,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,1.429,Low_Tone,1
Human,111,1,1,18,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,1.149,High_Tone,1
Human,111,1,1,19,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,1.057,High_Tone,1
Human,111,1,1,20,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.079,High_Tone,1
Human,111,1,1,21,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.138,High_Tone,1
Human,111,1,1,22,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,2,0.852,Low_Tone,1
Human,111,1,1,23,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.779,Low_Tone,1
Human,111,1,1,24,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.117,Low_Tone,1
Human,111,1,1,25,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.005,High_Tone,1
Human,111,1,1,26,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,1.296,Low_Tone,1
Human,111,1,1,27,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.474,High_Tone,1
Human,111,1,1,28,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.567,Low_Tone,1
Human,111,1,1,29,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,2,0.29,High_Tone,1
Human,111,1,1,30,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.432,Low_Tone,1
Human,111,1,1,31,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,1.362,Low_Tone,1
Human,111,1,1,32,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,1.808,Low_Tone,1
Human,111,1,1,33,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.816,Low_Tone,1
Human,111,1,1,34,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.082,High_Tone,1
Human,111,1,1,35,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.239,Low_Tone,1
Human,111,1,1,36,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.252,Low_Tone,1
Human,111,1,1,37,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.668,High_Tone,1
Human,111,1,1,38,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.021,Low_Tone,1
Human,111,1,1,39,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,2.191,High_Tone,1
Human,111,1,1,40,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,2,0.936,Low_Tone,1
Human,111,1,1,41,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.087,High_Tone,1
Human,111,1,1,42,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.02,High_Tone,1
Human,111,1,1,43,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,6.004,High_Tone,2
Human,111,1,1,44,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,1.766,High_Tone,2
Human,111,1,1,45,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,2,0.002,Low_Tone,2
Human,111,1,1,46,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,2.162,High_Tone,2
Human,111,1,1,47,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.175,Low_Tone,2
Human,111,1,1,48,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.622,Low_Tone,2
Human,111,1,1,49,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,1.352,Low_Tone,2
Human,111,1,1,50,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.028,High_Tone,2
Human,111,1,1,51,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,1.674,High_Tone,2
Human,111,1,1,52,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,1.023,Low_Tone,2
Human,111,1,1,53,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.014,Low_Tone,2
Human,111,1,1,54,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,2,0.539,Low_Tone,2
Human,111,1,1,55,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.12,High_Tone,2
Human,111,1,1,56,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.451,High_Tone,2
Human,111,1,1,57,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.087,High_Tone,2
Human,111,1,1,58,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.065,High_Tone,2
Human,111,1,1,59,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.987,Low_Tone,2
Human,111,1,1,60,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,1.256,Low_Tone,2
Human,111,1,1,61,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.502,Low_Tone,2
Human,111,1,1,62,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.952,High_Tone,2
Human,111,1,1,63,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.226,Low_Tone,2
Human,111,1,1,64,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.319,High_Tone,2
Human,111,1,1,65,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.078,High_Tone,2
Human,111,1,1,66,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.074,Low_Tone,2
Human,111,1,1,67,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.093,Low_Tone,2
Human,111,1,1,68,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,1.523,High_Tone,2
Human,111,1,1,69,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.476,Low_Tone,2
Human,111,1,1,70,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.024,High_Tone,2
Human,111,1,1,71,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.216,Low_Tone,2
Human,111,1,1,72,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.327,High_Tone,2
Human,111,1,1,73,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.009,Low_Tone,2
Human,111,1,1,74,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.107,Low_Tone,2
Human,111,1,1,75,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.312,High_Tone,2
Human,111,1,1,76,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,2,0.522,High_Tone,2
Human,111,1,1,77,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,2,0.269,Low_Tone,2
Human,111,1,1,78,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.513,High_Tone,2
Human,111,1,1,79,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.423,Low_Tone,2
Human,111,1,1,80,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.515,High_Tone,2
Human,111,1,1,81,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.347,High_Tone,2
Human,111,1,1,82,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.064,High_Tone,2
Human,111,1,1,83,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.467,Low_Tone,2
Human,111,1,1,84,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.16,Low_Tone,2
Human,111,1,1,85,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.146,High_Tone,3
Human,111,1,1,86,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.125,Low_Tone,3
Human,111,1,1,87,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.92,Low_Tone,3
Human,111,1,1,88,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.988,Low_Tone,3
Human,111,1,1,89,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.569,Low_Tone,3
Human,111,1,1,90,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.421,Low_Tone,3
Human,111,1,1,91,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.98,High_Tone,3
Human,111,1,1,92,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.085,High_Tone,3
Human,111,1,1,93,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.502,High_Tone,3
Human,111,1,1,94,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.68,High_Tone,3
Human,111,1,1,95,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.801,Low_Tone,3
Human,111,1,1,96,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.34,High_Tone,3
Human,111,1,1,97,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.186,Low_Tone,3
Human,111,1,1,98,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.826,High_Tone,3
Human,111,1,1,99,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,2,0.645,Low_Tone,3
Human,111,1,1,100,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.472,Low_Tone,3
Human,111,1,1,101,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.485,High_Tone,3
Human,111,1,1,102,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.002,Low_Tone,3
Human,111,1,1,103,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.897,High_Tone,3
Human,111,1,1,104,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.624,Low_Tone,3
Human,111,1,1,105,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.345,Low_Tone,3
Human,111,1,1,106,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.814,High_Tone,3
Human,111,1,1,107,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.024,Low_Tone,3
Human,111,1,1,108,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.288,Low_Tone,3
Human,111,1,1,109,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.207,Low_Tone,3
Human,111,1,1,110,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,1.266,High_Tone,3
Human,111,1,1,111,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.367,High_Tone,3
Human,111,1,1,112,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.485,High_Tone,3
Human,111,1,1,113,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,2,1.081,Low_Tone,3
Human,111,1,1,114,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.346,High_Tone,3
Human,111,1,1,115,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.725,High_Tone,3
Human,111,1,1,116,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.541,High_Tone,3
Human,111,1,1,117,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.439,High_Tone,3
Human,111,1,1,118,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.759,High_Tone,3
Human,111,1,1,119,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.663,High_Tone,3
Human,111,1,1,120,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.509,High_Tone,3
Human,111,1,1,121,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.464,Low_Tone,3
Human,111,1,1,122,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.382,High_Tone,3
Human,111,1,1,123,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.266,Low_Tone,3
Human,111,1,1,124,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.828,Low_Tone,3
Human,111,1,1,125,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.525,Low_Tone,3
Human,111,1,1,126,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.073,Low_Tone,3
Human,111,1,1,127,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,1.255,High_Tone,3
Human,111,1,1,128,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.302,Low_Tone,3
Human,111,1,1,129,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.098,Low_Tone,3
Human,111,1,1,130,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.882,Low_Tone,3
Human,111,1,1,131,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.652,High_Tone,3
Human,111,1,1,132,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.417,Low_Tone,3
Human,111,1,1,133,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,1.052,High_Tone,3
Human,111,1,1,134,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.076,Low_Tone,3
Human,111,1,1,135,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.043,High_Tone,3
Human,111,1,1,136,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.494,Low_Tone,3
Human,111,1,1,137,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,2,0.153,Low_Tone,3
Human,111,1,1,138,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.17,High_Tone,3
Human,111,1,1,139,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.497,Low_Tone,3
Human,111,1,1,140,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.528,High_Tone,3
Human,111,1,1,141,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.464,High_Tone,3
Human,111,1,1,142,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.511,High_Tone,3
Human,111,1,1,143,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,1.722,High_Tone,3
Human,111,1,1,144,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.473,High_Tone,3
Human,111,1,1,145,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,2,0.478,High_Tone,3
Human,111,1,1,146,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.637,Low_Tone,3
Human,111,1,1,147,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.022,High_Tone,3
Human,111,1,1,148,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.483,High_Tone,3
Human,111,1,1,149,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.513,Low_Tone,3
Human,111,1,1,150,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,1.128,Low_Tone,3
Human,111,1,1,151,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.699,Low_Tone,3
Human,111,1,1,152,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.46,High_Tone,3
Human,111,1,1,153,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.028,High_Tone,3
Human,111,1,1,154,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.51,Low_Tone,3
Human,111,1,1,155,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,2,0.085,Low_Tone,3
Human,111,1,1,156,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.541,Low_Tone,3
Human,111,1,1,157,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.368,High_Tone,3
Human,111,1,1,158,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.379,Low_Tone,3
Human,111,1,1,159,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,1.997,High_Tone,3
Human,111,1,1,160,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.662,Low_Tone,3
Human,111,1,1,161,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,2.717,High_Tone,3
Human,111,1,1,162,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.556,Low_Tone,3
Human,111,1,1,163,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.031,Low_Tone,3
Human,111,1,1,164,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.116,High_Tone,3
Human,111,1,1,165,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.096,Low_Tone,3
Human,111,1,1,166,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.532,Low_Tone,3
Human,111,1,1,167,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.804,High_Tone,3
Human,111,1,1,168,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.446,High_Tone,3
Human,111,1,1,169,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,2.165,High_Tone,1
Human,111,1,1,170,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.75,High_Tone,1
Human,111,1,1,171,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.372,Low_Tone,1
Human,111,1,1,172,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.264,High_Tone,1
Human,111,1,1,173,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.302,High_Tone,1
Human,111,1,1,174,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.287,Low_Tone,1
Human,111,1,1,175,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,1.219,High_Tone,1
Human,111,1,1,176,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.391,Low_Tone,1
Human,111,1,1,177,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.441,High_Tone,1
Human,111,1,1,178,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.262,High_Tone,1
Human,111,1,1,179,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,2,0.41,Low_Tone,1
Human,111,1,1,180,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,2,3.232,Low_Tone,1
Human,111,1,1,181,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,1.046,Low_Tone,1
Human,111,1,1,182,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.777,High_Tone,1
Human,111,1,1,183,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.03,High_Tone,1
Human,111,1,1,184,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.306,High_Tone,1
Human,111,1,1,185,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.231,Low_Tone,1
Human,111,1,1,186,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.087,High_Tone,1
Human,111,1,1,187,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.296,Low_Tone,1
Human,111,1,1,188,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.501,Low_Tone,1
Human,111,1,1,189,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.521,Low_Tone,1
Human,111,1,1,190,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.473,Low_Tone,1
Human,111,1,1,191,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.351,High_Tone,1
Human,111,1,1,192,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.41,Low_Tone,1
Human,111,1,1,193,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,2,0.658,High_Tone,1
Human,111,1,1,194,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.424,Low_Tone,1
Human,111,1,1,195,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.19,Low_Tone,1
Human,111,1,1,196,Auditory,TOJ,Adaptive,Duration,0.158,Auditory,0.5,Auditory,0.342,1,0.322,Low_Tone,1
Human,111,1,1,197,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.393,High_Tone,1
Human,111,1,1,198,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.653,High_Tone,1
Human,111,1,1,199,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.464,High_Tone,1
Human,111,1,1,200,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,2,0.387,Low_Tone,1
Human,111,1,1,201,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.357,High_Tone,1
Human,111,1,1,202,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.349,Low_Tone,1
Human,111,1,1,203,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.256,Low_Tone,1
Human,111,1,1,204,Auditory,TOJ,Adaptive,Duration,0.094,Auditory,0.5,Auditory,0.406,1,0.477,High_Tone,1
Human,111,1,1,205,Auditory,TOJ,Adaptive,Duration,0.126,Auditory,0.5,Auditory,0.374,1,0.256,High_Tone,1
