Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Method,Parameter,SOA,Stim_Type_1,Stim_Dur_1,Stim_Type_2,Stim_Dur_2,Accuracy,Reaction_Time
Human,1,1,1,48,Tactile,TOJ,Adaptive,Duration,0.025,Tactile,0.725,Tactile,0.7,1,0.66
Human,1,1,1,49,Tactile,TOJ,Adaptive,Duration,0.015,Tactile,0.7,Tactile,0.715,0,0.822
Human,1,1,1,50,Tactile,TOJ,Adaptive,Duration,0.045,Tactile,0.7,Tactile,0.745,0,0.822
Human,1,1,1,1,Visual,Training,Adaptive,Duration,0.3,Visual,0.7,Visual,1,0,0.531
Human,1,1,1,2,Visual,Training,Adaptive,Duration,0.33,Visual,0.7,Visual,1.03,1,0.825
Human,1,1,1,3,Visual,Training,Adaptive,Duration,0.32,Visual,0.7,Visual,1.02,1,0.982
Human,1,1,1,4,Visual,Training,Adaptive,Duration,0.31,Visual,0.7,Visual,1.01,1,0.719
Human,1,1,1,5,Visual,Training,Adaptive,Duration,0.3,Visual,0.7,Visual,1,1,0.653
Human,1,1,1,1,Visual,TOJ,Adaptive,Duration,0.3,Visual,0.7,Visual,1,0,0.637
Human,1,1,1,2,Visual,TOJ,Adaptive,Duration,0.285,Visual,0.7,Visual,0.985,1,0.594
Human,1,1,1,3,Visual,TOJ,Adaptive,Duration,0.27,Visual,0.7,Visual,0.97,0,0.87
Human,1,1,1,4,Visual,TOJ,Adaptive,Duration,0.255,Visual,0.7,Visual,0.955,1,0.525
Human,1,1,1,5,Visual,TOJ,Adaptive,Duration,0.24,Visual,0.7,Visual,0.94,1,0.771
Human,1,1,1,6,Visual,TOJ,Adaptive,Duration,0.225,Visual,0.7,Visual,0.925,1,0.639
Human,1,1,1,7,Visual,TOJ,Adaptive,Duration,0.21,Visual,0.7,Visual,0.91,1,0.617
Human,1,1,1,8,Visual,TOJ,Adaptive,Duration,0.195,Visual,0.7,Visual,0.895,0,0.578
Human,1,1,1,9,Visual,TOJ,Adaptive,Duration,0.18,Visual,0.7,Visual,0.88,0,0.684
Human,1,1,1,10,Visual,TOJ,Adaptive,Duration,0.165,Visual,0.7,Visual,0.865,0,0.975
Human,1,1,1,11,Visual,TOJ,Adaptive,Duration,0.15,Visual,0.7,Visual,0.85,1,0.675
Human,1,1,1,12,Visual,TOJ,Adaptive,Duration,0.195,Visual,0.7,Visual,0.895,1,0.936
Human,1,1,1,13,Visual,TOJ,Adaptive,Duration,0.18,Visual,0.7,Visual,0.88,1,0.511
Human,1,1,1,14,Visual,TOJ,Adaptive,Duration,0.165,Visual,0.7,Visual,0.865,1,0.596
Human,1,1,1,15,Visual,TOJ,Adaptive,Duration,0.15,Visual,0.7,Visual,0.85,0,0.506
Human,1,1,1,16,Visual,TOJ,Adaptive,Duration,0.135,Visual,0.7,Visual,0.835,1,0.781
Human,1,1,1,17,Visual,TOJ,Adaptive,Duration,0.12,Visual,0.7,Visual,0.82,0,0.711
Human,1,1,1,18,Visual,TOJ,Adaptive,Duration,0.105,Visual,0.7,Visual,0.805,0,0.682
Human,1,1,1,19,Visual,TOJ,Adaptive,Duration,0.09,Visual,0.7,Visual,0.79,0,0.716
Human,1,1,1,20,Visual,TOJ,Adaptive,Duration,0.075,Visual,0.7,Visual,0.775,1,0.896
Human,1,1,1,21,Visual,TOJ,Adaptive,Duration,0.12,Visual,0.7,Visual,0.82,0,0.708
Human,1,1,1,22,Visual,TOJ,Adaptive,Duration,0.105,Visual,0.7,Visual,0.805,0,0.578
Human,1,1,1,23,Visual,TOJ,Adaptive,Duration,0.09,Visual,0.7,Visual,0.79,0,0.598
Human,1,1,1,24,Visual,TOJ,Adaptive,Duration,0.135,Visual,0.7,Visual,0.835,1,0.663
Human,1,1,1,25,Visual,TOJ,Adaptive,Duration,0.12,Visual,0.7,Visual,0.82,1,0.77
Human,1,1,1,26,Visual,TOJ,Adaptive,Duration,0.105,Visual,0.7,Visual,0.805,1,0.638
Human,1,1,1,27,Visual,TOJ,Adaptive,Duration,0.09,Visual,0.7,Visual,0.79,0,0.806
