Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Method,Parameter,SOA,Stim_Type_1,Stim_Dur_1,Stim_Type_2,Stim_Dur_2,Accuracy,Reaction_Time
Human,14,3,1,12,Auditory,TOJ,Adaptive,Duration,0.195,Auditory,0.7,Auditory,0.895,0,0.752
Human,14,3,1,13,Auditory,TOJ,Adaptive,Duration,0.18,Auditory,0.88,Auditory,0.7,0,0.502
Human,14,3,1,14,Auditory,TOJ,Adaptive,Duration,0.165,Auditory,0.865,Auditory,0.7,1,0.749
Human,14,3,1,15,Auditory,TOJ,Adaptive,Duration,0.21,Auditory,0.7,Auditory,0.91,1,0.75
Human,14,3,1,16,Auditory,TOJ,Adaptive,Duration,0.195,Auditory,0.7,Auditory,0.895,1,0.973
Human,14,3,1,17,Auditory,TOJ,Adaptive,Duration,0.18,Auditory,0.88,Auditory,0.7,0,0.948
Human,14,3,1,18,Auditory,TOJ,Adaptive,Duration,0.165,Auditory,0.7,Auditory,0.865,0,0.743
Human,14,3,1,19,Auditory,TOJ,Adaptive,Duration,0.15,Auditory,0.85,Auditory,0.7,0,0.984
Human,14,3,1,20,Auditory,TOJ,Adaptive,Duration,0.135,Auditory,0.835,Auditory,0.7,1,0.97
Human,14,3,1,21,Auditory,TOJ,Adaptive,Duration,0.12,Auditory,0.7,Auditory,0.82,0,0.718
Human,14,3,1,22,Auditory,TOJ,Adaptive,Duration,0.105,Auditory,0.805,Auditory,0.7,0,0.715
Human,14,3,1,23,Auditory,TOJ,Adaptive,Duration,0.09,Auditory,0.79,Auditory,0.7,1,0.546
Human,14,3,1,24,Auditory,TOJ,Adaptive,Duration,0.075,Auditory,0.7,Auditory,0.775,0,0.518
Human,14,3,1,25,Auditory,TOJ,Adaptive,Duration,0.06,Auditory,0.76,Auditory,0.7,0,0.757
Human,14,3,1,26,Auditory,TOJ,Adaptive,Duration,0.045,Auditory,0.7,Auditory,0.745,0,0.933
Human,14,3,1,27,Auditory,TOJ,Adaptive,Duration,0.09,Auditory,0.79,Auditory,0.7,1,0.929
Human,14,3,1,28,Auditory,TOJ,Adaptive,Duration,0.135,Auditory,0.835,Auditory,0.7,0,0.723
Human,14,3,1,29,Auditory,TOJ,Adaptive,Duration,0.12,Auditory,0.7,Auditory,0.82,0,0.558
Human,14,3,1,30,Auditory,TOJ,Adaptive,Duration,0.105,Auditory,0.805,Auditory,0.7,0,0.589
Human,14,3,1,31,Auditory,TOJ,Adaptive,Duration,0.095,Auditory,0.7,Auditory,0.795,0,0.81
Human,14,3,1,32,Auditory,TOJ,Adaptive,Duration,0.085,Auditory,0.785,Auditory,0.7,0,0.749
Human,14,3,1,33,Auditory,TOJ,Adaptive,Duration,0.075,Auditory,0.7,Auditory,0.775,0,0.632
Human,14,3,1,34,Auditory,TOJ,Adaptive,Duration,0.065,Auditory,0.765,Auditory,0.7,0,0.572
Human,14,3,1,35,Auditory,TOJ,Adaptive,Duration,0.055,Auditory,0.755,Auditory,0.7,1,0.96
Human,14,3,1,36,Auditory,TOJ,Adaptive,Duration,0.085,Auditory,0.785,Auditory,0.7,0,0.531
Human,14,3,1,37,Auditory,TOJ,Adaptive,Duration,0.115,Auditory,0.7,Auditory,0.815,1,0.643
Human,14,3,1,38,Auditory,TOJ,Adaptive,Duration,0.105,Auditory,0.805,Auditory,0.7,0,0.989
Human,14,3,1,39,Auditory,TOJ,Adaptive,Duration,0.095,Auditory,0.7,Auditory,0.795,0,0.67
Human,14,3,1,40,Auditory,TOJ,Adaptive,Duration,0.085,Auditory,0.7,Auditory,0.785,1,0.938
Human,14,3,1,41,Auditory,TOJ,Adaptive,Duration,0.075,Auditory,0.7,Auditory,0.775,1,0.71
Human,14,3,1,42,Auditory,TOJ,Adaptive,Duration,0.065,Auditory,0.765,Auditory,0.7,0,0.976
Human,14,3,1,43,Auditory,TOJ,Adaptive,Duration,0.055,Auditory,0.7,Auditory,0.755,0,0.84
Human,14,3,1,44,Auditory,TOJ,Adaptive,Duration,0.045,Auditory,0.745,Auditory,0.7,0,0.918
Human,14,3,1,45,Auditory,TOJ,Adaptive,Duration,0.035,Auditory,0.735,Auditory,0.7,1,0.695
Human,14,3,1,46,Auditory,TOJ,Adaptive,Duration,0.025,Auditory,0.725,Auditory,0.7,1,0.814
Human,14,3,1,47,Auditory,TOJ,Adaptive,Duration,0.015,Auditory,0.715,Auditory,0.7,1,0.817
Human,14,3,1,48,Auditory,TOJ,Adaptive,Duration,0.045,Auditory,0.745,Auditory,0.7,0,0.679
Human,14,3,1,49,Auditory,TOJ,Adaptive,Duration,0.075,Auditory,0.7,Auditory,0.775,1,0.752
Human,14,3,1,50,Auditory,TOJ,Adaptive,Duration,0.105,Auditory,0.7,Auditory,0.805,0,0.977
Human,14,3,1,1,Tactile,Training,Adaptive,Duration,0.3,Tactile,1,Tactile,0.7,1,0.765
Human,14,3,1,2,Tactile,Training,Adaptive,Duration,0.29,Tactile,0.7,Tactile,0.99,1,0.751
Human,14,3,1,3,Tactile,Training,Adaptive,Duration,0.28,Tactile,0.98,Tactile,0.7,1,0.683
Human,14,3,1,4,Tactile,Training,Adaptive,Duration,0.27,Tactile,0.7,Tactile,0.97,1,0.848
Human,14,3,1,5,Tactile,Training,Adaptive,Duration,0.26,Tactile,0.7,Tactile,0.96,1,0.801
Human,14,3,1,1,Tactile,TOJ,Adaptive,Duration,0.3,Tactile,1,Tactile,0.7,0,0.588
Human,14,3,1,2,Tactile,TOJ,Adaptive,Duration,0.285,Tactile,0.985,Tactile,0.7,1,0.787
Human,14,3,1,3,Tactile,TOJ,Adaptive,Duration,0.33,Tactile,0.7,Tactile,1.03,1,0.951
Human,14,3,1,4,Tactile,TOJ,Adaptive,Duration,0.315,Tactile,1.015,Tactile,0.7,0,0.726
Human,14,3,1,5,Tactile,TOJ,Adaptive,Duration,0.3,Tactile,0.7,Tactile,1,0,0.831
Human,14,3,1,6,Tactile,TOJ,Adaptive,Duration,0.345,Tactile,1.045,Tactile,0.7,1,0.52
Human,14,3,1,7,Tactile,TOJ,Adaptive,Duration,0.33,Tactile,0.7,Tactile,1.03,0,0.904
Human,14,3,1,8,Tactile,TOJ,Adaptive,Duration,0.375,Tactile,0.7,Tactile,1.075,0,0.52
Human,14,3,1,9,Tactile,TOJ,Adaptive,Duration,0.36,Tactile,1.06,Tactile,0.7,0,0.697
Human,14,3,1,10,Tactile,TOJ,Adaptive,Duration,0.345,Tactile,1.045,Tactile,0.7,1,0.914
Human,14,3,1,11,Tactile,TOJ,Adaptive,Duration,0.33,Tactile,1.03,Tactile,0.7,1,0.532
Human,14,3,1,12,Tactile,TOJ,Adaptive,Duration,0.315,Tactile,0.7,Tactile,1.015,0,0.829
Human,14,3,1,13,Tactile,TOJ,Adaptive,Duration,0.3,Tactile,1,Tactile,0.7,0,0.962
Human,14,3,1,14,Tactile,TOJ,Adaptive,Duration,0.285,Tactile,0.985,Tactile,0.7,1,0.599
Human,14,3,1,15,Tactile,TOJ,Adaptive,Duration,0.27,Tactile,0.7,Tactile,0.97,0,0.979
Human,14,3,1,16,Tactile,TOJ,Adaptive,Duration,0.255,Tactile,0.7,Tactile,0.955,1,0.979
Human,14,3,1,17,Tactile,TOJ,Adaptive,Duration,0.24,Tactile,0.7,Tactile,0.94,1,0.695
Human,14,3,1,18,Tactile,TOJ,Adaptive,Duration,0.285,Tactile,0.7,Tactile,0.985,0,0.927
Human,14,3,1,19,Tactile,TOJ,Adaptive,Duration,0.27,Tactile,0.97,Tactile,0.7,0,0.662
Human,14,3,1,20,Tactile,TOJ,Adaptive,Duration,0.255,Tactile,0.7,Tactile,0.955,0,0.558
Human,14,3,1,21,Tactile,TOJ,Adaptive,Duration,0.24,Tactile,0.94,Tactile,0.7,0,0.909
Human,14,3,1,22,Tactile,TOJ,Adaptive,Duration,0.225,Tactile,0.925,Tactile,0.7,1,0.87
Human,14,3,1,23,Tactile,TOJ,Adaptive,Duration,0.21,Tactile,0.91,Tactile,0.7,1,0.649
Human,14,3,1,24,Tactile,TOJ,Adaptive,Duration,0.195,Tactile,0.7,Tactile,0.895,0,0.867
Human,14,3,1,25,Tactile,TOJ,Adaptive,Duration,0.18,Tactile,0.88,Tactile,0.7,0,0.668
Human,14,3,1,26,Tactile,TOJ,Adaptive,Duration,0.165,Tactile,0.865,Tactile,0.7,1,0.884
Human,14,3,1,27,Tactile,TOJ,Adaptive,Duration,0.15,Tactile,0.7,Tactile,0.85,0,0.504
Human,14,3,1,28,Tactile,TOJ,Adaptive,Duration,0.135,Tactile,0.7,Tactile,0.835,1,0.747
Human,14,3,1,29,Tactile,TOJ,Adaptive,Duration,0.12,Tactile,0.7,Tactile,0.82,1,0.6
Human,14,3,1,30,Tactile,TOJ,Adaptive,Duration,0.105,Tactile,0.7,Tactile,0.805,1,0.6
Human,14,3,1,31,Tactile,TOJ,Adaptive,Duration,0.095,Tactile,0.7,Tactile,0.795,1,0.619
Human,14,3,1,32,Tactile,TOJ,Adaptive,Duration,0.125,Tactile,0.7,Tactile,0.825,0,0.773
Human,14,3,1,33,Tactile,TOJ,Adaptive,Duration,0.115,Tactile,0.815,Tactile,0.7,0,0.857
Human,14,3,1,34,Tactile,TOJ,Adaptive,Duration,0.105,Tactile,0.7,Tactile,0.805,0,0.9
Human,14,3,1,35,Tactile,TOJ,Adaptive,Duration,0.135,Tactile,0.835,Tactile,0.7,1,0.636
Human,14,3,1,36,Tactile,TOJ,Adaptive,Duration,0.165,Tactile,0.865,Tactile,0.7,0,0.586
Human,14,3,1,37,Tactile,TOJ,Adaptive,Duration,0.155,Tactile,0.7,Tactile,0.855,0,0.855
Human,14,3,1,38,Tactile,TOJ,Adaptive,Duration,0.145,Tactile,0.845,Tactile,0.7,0,0.944
Human,14,3,1,39,Tactile,TOJ,Adaptive,Duration,0.135,Tactile,0.7,Tactile,0.835,0,0.666
Human,14,3,1,40,Tactile,TOJ,Adaptive,Duration,0.125,Tactile,0.7,Tactile,0.825,1,0.528
Human,14,3,1,41,Tactile,TOJ,Adaptive,Duration,0.115,Tactile,0.7,Tactile,0.815,1,0.503
Human,14,3,1,42,Tactile,TOJ,Adaptive,Duration,0.105,Tactile,0.805,Tactile,0.7,0,0.848
Human,14,3,1,43,Tactile,TOJ,Adaptive,Duration,0.095,Tactile,0.795,Tactile,0.7,1,0.672
Human,14,3,1,44,Tactile,TOJ,Adaptive,Duration,0.085,Tactile,0.785,Tactile,0.7,1,0.721
Human,14,3,1,45,Tactile,TOJ,Adaptive,Duration,0.115,Tactile,0.815,Tactile,0.7,0,0.622
Human,14,3,1,46,Tactile,TOJ,Adaptive,Duration,0.105,Tactile,0.805,Tactile,0.7,1,0.782
Human,14,3,1,47,Tactile,TOJ,Adaptive,Duration,0.095,Tactile,0.7,Tactile,0.795,0,0.925
Human,14,3,1,48,Tactile,TOJ,Adaptive,Duration,0.125,Tactile,0.7,Tactile,0.825,0,0.659
Human,14,3,1,49,Tactile,TOJ,Adaptive,Duration,0.115,Tactile,0.815,Tactile,0.7,0,0.983
Human,14,3,1,50,Tactile,TOJ,Adaptive,Duration,0.105,Tactile,0.7,Tactile,0.805,0,0.973
Human,15,1,1,1,Tactile,Training,Adaptive,Duration,0.3,Tactile,0.7,Tactile,1,1,0.922
Human,15,1,1,2,Tactile,Training,Adaptive,Duration,0.29,Tactile,0.7,Tactile,0.99,1,0.597
Human,15,1,1,3,Tactile,Training,Adaptive,Duration,0.28,Tactile,0.98,Tactile,0.7,1,0.533
Human,15,1,1,4,Tactile,Training,Adaptive,Duration,0.27,Tactile,0.97,Tactile,0.7,1,0.625
Human,15,1,1,5,Tactile,Training,Adaptive,Duration,0.26,Tactile,0.96,Tactile,0.7,1,0.785
Human,15,1,1,1,Tactile,TOJ,Adaptive,Duration,0.3,Tactile,1,Tactile,0.7,1,0.992
Human,15,1,1,2,Tactile,TOJ,Adaptive,Duration,0.285,Tactile,0.7,Tactile,0.985,0,0.662
Human,15,1,1,3,Tactile,TOJ,Adaptive,Duration,0.27,Tactile,0.97,Tactile,0.7,0,0.865
Human,15,1,1,4,Tactile,TOJ,Adaptive,Duration,0.255,Tactile,0.955,Tactile,0.7,1,0.732
Human,15,1,1,5,Tactile,TOJ,Adaptive,Duration,0.24,Tactile,0.94,Tactile,0.7,1,0.726
Human,15,1,1,6,Tactile,TOJ,Adaptive,Duration,0.225,Tactile,0.7,Tactile,0.925,0,0.835
Human,15,1,1,7,Tactile,TOJ,Adaptive,Duration,0.21,Tactile,0.7,Tactile,0.91,1,0.81
Human,15,1,1,8,Tactile,TOJ,Adaptive,Duration,0.195,Tactile,0.895,Tactile,0.7,0,0.901
Human,15,1,1,9,Tactile,TOJ,Adaptive,Duration,0.18,Tactile,0.88,Tactile,0.7,1,0.922
Human,15,1,1,10,Tactile,TOJ,Adaptive,Duration,0.165,Tactile,0.865,Tactile,0.7,1,0.875
Human,15,1,1,11,Tactile,TOJ,Adaptive,Duration,0.15,Tactile,0.85,Tactile,0.7,1,0.86
Human,15,1,1,12,Tactile,TOJ,Adaptive,Duration,0.135,Tactile,0.835,Tactile,0.7,1,0.548
Human,15,1,1,13,Tactile,TOJ,Adaptive,Duration,0.12,Tactile,0.82,Tactile,0.7,1,0.953
Human,15,1,1,14,Tactile,TOJ,Adaptive,Duration,0.105,Tactile,0.805,Tactile,0.7,1,0.675
Human,15,1,1,15,Tactile,TOJ,Adaptive,Duration,0.09,Tactile,0.79,Tactile,0.7,1,0.973
Human,15,1,1,16,Tactile,TOJ,Adaptive,Duration,0.075,Tactile,0.7,Tactile,0.775,0,0.821
Human,15,1,1,17,Tactile,TOJ,Adaptive,Duration,0.12,Tactile,0.7,Tactile,0.82,0,0.634
Human,15,1,1,18,Tactile,TOJ,Adaptive,Duration,0.105,Tactile,0.805,Tactile,0.7,0,0.831
Human,15,1,1,19,Tactile,TOJ,Adaptive,Duration,0.09,Tactile,0.7,Tactile,0.79,0,0.739
Human,15,1,1,20,Tactile,TOJ,Adaptive,Duration,0.075,Tactile,0.7,Tactile,0.775,1,0.859
Human,15,1,1,21,Tactile,TOJ,Adaptive,Duration,0.06,Tactile,0.76,Tactile,0.7,0,0.864
Human,15,1,1,22,Tactile,TOJ,Adaptive,Duration,0.045,Tactile,0.7,Tactile,0.745,0,0.626
Human,15,1,1,23,Tactile,TOJ,Adaptive,Duration,0.03,Tactile,0.73,Tactile,0.7,0,0.786
Human,15,1,1,24,Tactile,TOJ,Adaptive,Duration,0.075,Tactile,0.7,Tactile,0.775,1,0.942
Human,15,1,1,25,Tactile,TOJ,Adaptive,Duration,0.12,Tactile,0.7,Tactile,0.82,0,0.788
Human,15,1,1,26,Tactile,TOJ,Adaptive,Duration,0.165,Tactile,0.7,Tactile,0.865,0,0.925
Human,15,1,1,27,Tactile,TOJ,Adaptive,Duration,0.15,Tactile,0.7,Tactile,0.85,1,0.957
Human,15,1,1,28,Tactile,TOJ,Adaptive,Duration,0.135,Tactile,0.7,Tactile,0.835,1,0.946
Human,15,1,1,29,Tactile,TOJ,Adaptive,Duration,0.12,Tactile,0.82,Tactile,0.7,0,0.519
Human,15,1,1,30,Tactile,TOJ,Adaptive,Duration,0.165,Tactile,0.865,Tactile,0.7,0,0.532
Human,15,1,1,31,Tactile,TOJ,Adaptive,Duration,0.155,Tactile,0.7,Tactile,0.855,0,0.619
Human,15,1,1,32,Tactile,TOJ,Adaptive,Duration,0.145,Tactile,0.845,Tactile,0.7,0,0.992
Human,15,1,1,33,Tactile,TOJ,Adaptive,Duration,0.175,Tactile,0.7,Tactile,0.875,1,0.759
Human,15,1,1,34,Tactile,TOJ,Adaptive,Duration,0.165,Tactile,0.7,Tactile,0.865,1,0.537
Human,15,1,1,35,Tactile,TOJ,Adaptive,Duration,0.155,Tactile,0.7,Tactile,0.855,1,0.6
Human,15,1,1,36,Tactile,TOJ,Adaptive,Duration,0.145,Tactile,0.845,Tactile,0.7,0,0.601
Human,15,1,1,37,Tactile,TOJ,Adaptive,Duration,0.135,Tactile,0.835,Tactile,0.7,1,0.695
Human,15,1,1,38,Tactile,TOJ,Adaptive,Duration,0.125,Tactile,0.825,Tactile,0.7,1,0.75
Human,15,1,1,39,Tactile,TOJ,Adaptive,Duration,0.115,Tactile,0.815,Tactile,0.7,1,0.532
Human,15,1,1,40,Tactile,TOJ,Adaptive,Duration,0.145,Tactile,0.7,Tactile,0.845,1,0.508
Human,15,1,1,41,Tactile,TOJ,Adaptive,Duration,0.135,Tactile,0.835,Tactile,0.7,0,0.502
Human,15,1,1,42,Tactile,TOJ,Adaptive,Duration,0.125,Tactile,0.825,Tactile,0.7,1,0.716
Human,15,1,1,43,Tactile,TOJ,Adaptive,Duration,0.155,Tactile,0.855,Tactile,0.7,0,0.735
Human,15,1,1,44,Tactile,TOJ,Adaptive,Duration,0.145,Tactile,0.845,Tactile,0.7,1,0.883
Human,15,1,1,45,Tactile,TOJ,Adaptive,Duration,0.135,Tactile,0.7,Tactile,0.835,0,0.993
Human,15,1,1,46,Tactile,TOJ,Adaptive,Duration,0.125,Tactile,0.7,Tactile,0.825,1,0.701
Human,15,1,1,47,Tactile,TOJ,Adaptive,Duration,0.115,Tactile,0.7,Tactile,0.815,1,0.873
Human,15,1,1,48,Tactile,TOJ,Adaptive,Duration,0.105,Tactile,0.7,Tactile,0.805,1,0.65
Human,15,1,1,49,Tactile,TOJ,Adaptive,Duration,0.095,Tactile,0.795,Tactile,0.7,0,0.945
Human,15,1,1,50,Tactile,TOJ,Adaptive,Duration,0.085,Tactile,0.785,Tactile,0.7,1,0.565
Human,15,1,1,1,Visual,Training,Adaptive,Duration,0.3,Visual,0.7,Visual,1,0,0.769
Human,15,1,1,2,Visual,Training,Adaptive,Duration,0.33,Visual,0.7,Visual,1.03,1,0.744
Human,15,1,1,3,Visual,Training,Adaptive,Duration,0.32,Visual,0.7,Visual,1.02,1,0.918
Human,15,1,1,4,Visual,Training,Adaptive,Duration,0.31,Visual,0.7,Visual,1.01,1,0.769
Human,15,1,1,5,Visual,Training,Adaptive,Duration,0.3,Visual,0.7,Visual,1,1,0.603
Human,15,1,1,1,Visual,TOJ,Adaptive,Duration,0.3,Visual,0.7,Visual,1,0,0.995
Human,15,1,1,2,Visual,TOJ,Adaptive,Duration,0.285,Visual,0.7,Visual,0.985,0,0.76
Human,15,1,1,3,Visual,TOJ,Adaptive,Duration,0.27,Visual,0.7,Visual,0.97,1,0.544
Human,15,1,1,4,Visual,TOJ,Adaptive,Duration,0.255,Visual,0.7,Visual,0.955,0,0.554
Human,15,1,1,5,Visual,TOJ,Adaptive,Duration,0.24,Visual,0.7,Visual,0.94,0,0.723
Human,15,1,1,6,Visual,TOJ,Adaptive,Duration,0.225,Visual,0.7,Visual,0.925,1,0.918
Human,15,1,1,7,Visual,TOJ,Adaptive,Duration,0.21,Visual,0.7,Visual,0.91,1,0.78
Human,15,1,1,8,Visual,TOJ,Adaptive,Duration,0.195,Visual,0.7,Visual,0.895,1,0.513
Human,15,1,1,9,Visual,TOJ,Adaptive,Duration,0.18,Visual,0.7,Visual,0.88,0,0.881
Human,15,1,1,10,Visual,TOJ,Adaptive,Duration,0.165,Visual,0.7,Visual,0.865,1,0.695
Human,15,1,1,11,Visual,TOJ,Adaptive,Duration,0.15,Visual,0.7,Visual,0.85,1,0.812
Human,15,1,1,12,Visual,TOJ,Adaptive,Duration,0.135,Visual,0.7,Visual,0.835,1,0.707
Human,15,1,1,13,Visual,TOJ,Adaptive,Duration,0.12,Visual,0.7,Visual,0.82,1,0.964
Human,15,1,1,14,Visual,TOJ,Adaptive,Duration,0.165,Visual,0.7,Visual,0.865,0,0.787
Human,15,1,1,15,Visual,TOJ,Adaptive,Duration,0.15,Visual,0.7,Visual,0.85,1,0.884
Human,15,1,1,16,Visual,TOJ,Adaptive,Duration,0.135,Visual,0.7,Visual,0.835,0,0.661
Human,15,1,1,17,Visual,TOJ,Adaptive,Duration,0.12,Visual,0.7,Visual,0.82,1,0.908
Human,15,1,1,18,Visual,TOJ,Adaptive,Duration,0.105,Visual,0.7,Visual,0.805,0,0.876
Human,15,1,1,19,Visual,TOJ,Adaptive,Duration,0.09,Visual,0.7,Visual,0.79,1,0.69
Human,15,1,1,20,Visual,TOJ,Adaptive,Duration,0.075,Visual,0.7,Visual,0.775,0,0.92
Human,15,1,1,21,Visual,TOJ,Adaptive,Duration,0.12,Visual,0.7,Visual,0.82,0,0.72
Human,15,1,1,22,Visual,TOJ,Adaptive,Duration,0.105,Visual,0.7,Visual,0.805,0,0.971
Human,15,1,1,23,Visual,TOJ,Adaptive,Duration,0.09,Visual,0.7,Visual,0.79,1,0.921
Human,15,1,1,24,Visual,TOJ,Adaptive,Duration,0.075,Visual,0.7,Visual,0.775,1,0.702
Human,15,1,1,25,Visual,TOJ,Adaptive,Duration,0.06,Visual,0.7,Visual,0.76,1,0.827
Human,15,1,1,26,Visual,TOJ,Adaptive,Duration,0.045,Visual,0.7,Visual,0.745,0,0.927
Human,15,1,1,27,Visual,TOJ,Adaptive,Duration,0.09,Visual,0.7,Visual,0.79,1,0.583
Human,15,1,1,28,Visual,TOJ,Adaptive,Duration,0.075,Visual,0.7,Visual,0.775,1,0.921
Human,15,1,1,29,Visual,TOJ,Adaptive,Duration,0.06,Visual,0.7,Visual,0.76,0,0.829
Human,15,1,1,30,Visual,TOJ,Adaptive,Duration,0.105,Visual,0.7,Visual,0.805,1,0.773
Human,15,1,1,31,Visual,TOJ,Adaptive,Duration,0.095,Visual,0.7,Visual,0.795,0,0.572
Human,15,1,1,32,Visual,TOJ,Adaptive,Duration,0.125,Visual,0.7,Visual,0.825,0,0.993
Human,15,1,1,33,Visual,TOJ,Adaptive,Duration,0.115,Visual,0.7,Visual,0.815,0,0.739
Human,15,1,1,34,Visual,TOJ,Adaptive,Duration,0.105,Visual,0.7,Visual,0.805,0,0.637
Human,15,1,1,35,Visual,TOJ,Adaptive,Duration,0.095,Visual,0.7,Visual,0.795,1,0.553
Human,15,1,1,36,Visual,TOJ,Adaptive,Duration,0.085,Visual,0.7,Visual,0.785,0,0.872
Human,15,1,1,37,Visual,TOJ,Adaptive,Duration,0.075,Visual,0.7,Visual,0.775,1,0.785
Human,15,1,1,38,Visual,TOJ,Adaptive,Duration,0.065,Visual,0.7,Visual,0.765,0,0.79
Human,15,1,1,39,Visual,TOJ,Adaptive,Duration,0.095,Visual,0.7,Visual,0.795,0,0.968
Human,15,1,1,40,Visual,TOJ,Adaptive,Duration,0.085,Visual,0.7,Visual,0.785,0,0.738
Human,15,1,1,41,Visual,TOJ,Adaptive,Duration,0.115,Visual,0.7,Visual,0.815,0,0.65
Human,15,1,1,42,Visual,TOJ,Adaptive,Duration,0.145,Visual,0.7,Visual,0.845,1,0.935
Human,15,1,1,43,Visual,TOJ,Adaptive,Duration,0.135,Visual,0.7,Visual,0.835,0,0.739
Human,15,1,1,44,Visual,TOJ,Adaptive,Duration,0.125,Visual,0.7,Visual,0.825,0,0.954
Human,15,1,1,45,Visual,TOJ,Adaptive,Duration,0.115,Visual,0.7,Visual,0.815,0,0.508
Human,15,1,1,46,Visual,TOJ,Adaptive,Duration,0.145,Visual,0.7,Visual,0.845,0,0.767
Human,15,1,1,47,Visual,TOJ,Adaptive,Duration,0.135,Visual,0.7,Visual,0.835,0,0.995
Human,15,1,1,48,Visual,TOJ,Adaptive,Duration,0.125,Visual,0.7,Visual,0.825,0,0.704
Human,15,1,1,49,Visual,TOJ,Adaptive,Duration,0.155,Visual,0.7,Visual,0.855,0,0.729
Human,15,1,1,50,Visual,TOJ,Adaptive,Duration,0.145,Visual,0.7,Visual,0.845,1,0.787
Human,15,1,1,1,Auditory,Training,Adaptive,Duration,0.3,Auditory,0.7,Auditory,1,1,0.549
Human,15,1,1,2,Auditory,Training,Adaptive,Duration,0.29,Auditory,0.99,Auditory,0.7,1,0.907
Human,15,1,1,3,Auditory,Training,Adaptive,Duration,0.28,Auditory,0.98,Auditory,0.7,1,0.875
Human,15,1,1,4,Auditory,Training,Adaptive,Duration,0.27,Auditory,0.97,Auditory,0.7,1,0.913
Human,15,1,1,5,Auditory,Training,Adaptive,Duration,0.26,Auditory,0.96,Auditory,0.7,1,0.783
Human,15,1,1,1,Auditory,TOJ,Adaptive,Duration,0.3,Auditory,1,Auditory,0.7,1,0.957
Human,15,1,1,2,Auditory,TOJ,Adaptive,Duration,0.285,Auditory,0.7,Auditory,0.985,0,0.872
Human,15,1,1,3,Auditory,TOJ,Adaptive,Duration,0.27,Auditory,0.97,Auditory,0.7,0,0.86
Human,15,1,1,4,Auditory,TOJ,Adaptive,Duration,0.255,Auditory,0.7,Auditory,0.955,0,0.578
Human,15,1,1,5,Auditory,TOJ,Adaptive,Duration,0.24,Auditory,0.94,Auditory,0.7,0,0.57
Human,15,1,1,6,Auditory,TOJ,Adaptive,Duration,0.225,Auditory,0.7,Auditory,0.925,0,0.885
Human,15,1,1,7,Auditory,TOJ,Adaptive,Duration,0.21,Auditory,0.91,Auditory,0.7,0,0.875
Human,15,1,1,8,Auditory,TOJ,Adaptive,Duration,0.195,Auditory,0.895,Auditory,0.7,1,0.505
Human,15,1,1,9,Auditory,TOJ,Adaptive,Duration,0.18,Auditory,0.88,Auditory,0.7,1,0.764
Human,15,1,1,10,Auditory,TOJ,Adaptive,Duration,0.165,Auditory,0.865,Auditory,0.7,1,0.996
Human,15,1,1,11,Auditory,TOJ,Adaptive,Duration,0.15,Auditory,0.85,Auditory,0.7,1,0.642
Human,15,1,1,12,Auditory,TOJ,Adaptive,Duration,0.135,Auditory,0.7,Auditory,0.835,0,0.731
Human,15,1,1,13,Auditory,TOJ,Adaptive,Duration,0.12,Auditory,0.82,Auditory,0.7,0,0.65
Human,15,1,1,14,Auditory,TOJ,Adaptive,Duration,0.165,Auditory,0.7,Auditory,0.865,1,0.508
Human,15,1,1,15,Auditory,TOJ,Adaptive,Duration,0.15,Auditory,0.7,Auditory,0.85,1,0.955
Human,15,1,1,16,Auditory,TOJ,Adaptive,Duration,0.135,Auditory,0.7,Auditory,0.835,1,0.907
Human,15,1,1,17,Auditory,TOJ,Adaptive,Duration,0.12,Auditory,0.7,Auditory,0.82,1,0.698
Human,15,1,1,18,Auditory,TOJ,Adaptive,Duration,0.105,Auditory,0.805,Auditory,0.7,0,0.67
Human,15,1,1,19,Auditory,TOJ,Adaptive,Duration,0.09,Auditory,0.79,Auditory,0.7,1,0.809
Human,15,1,1,20,Auditory,TOJ,Adaptive,Duration,0.075,Auditory,0.7,Auditory,0.775,0,0.593
Human,15,1,1,21,Auditory,TOJ,Adaptive,Duration,0.06,Auditory,0.76,Auditory,0.7,0,0.716
Human,15,1,1,22,Auditory,TOJ,Adaptive,Duration,0.045,Auditory,0.745,Auditory,0.7,1,0.652
Human,15,1,1,23,Auditory,TOJ,Adaptive,Duration,0.03,Auditory,0.7,Auditory,0.73,0,0.957
Human,15,1,1,24,Auditory,TOJ,Adaptive,Duration,0.015,Auditory,0.715,Auditory,0.7,0,0.743
Human,15,1,1,25,Auditory,TOJ,Adaptive,Duration,0.015,Auditory,0.715,Auditory,0.7,1,0.681
Human,15,1,1,26,Auditory,TOJ,Adaptive,Duration,0.015,Auditory,0.715,Auditory,0.7,1,0.983
Human,15,1,1,27,Auditory,TOJ,Adaptive,Duration,0.015,Auditory,0.7,Auditory,0.715,0,0.861
Human,15,1,1,28,Auditory,TOJ,Adaptive,Duration,0.06,Auditory,0.7,Auditory,0.76,0,0.772
Human,15,1,1,29,Auditory,TOJ,Adaptive,Duration,0.045,Auditory,0.7,Auditory,0.745,1,0.759
Human,15,1,1,30,Auditory,TOJ,Adaptive,Duration,0.03,Auditory,0.7,Auditory,0.73,1,0.784
